Age,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,LoanApproved
45,617,Employed,Master,22,13152,48,Married,2,Own,183,0.3544179188076587,1,2,0,Home,0,29,9,7632,1202,146111,19183,3329.0,0.7249720460524032,11,0
38,628,Employed,Associate,15,26045,48,Single,1,Mortgage,496,0.0878269682003487,5,3,0,Debt Consolidation,0,21,9,4627,3460,53204,9595,3309.083333333333,0.9351320992549323,3,0
47,570,Employed,Bachelor,26,17627,36,Married,2,Rent,902,0.1374141042375972,2,0,0,Education,0,20,22,886,895,25176,128874,3393.6666666666665,0.8722406105782907,6,0
58,545,Employed,High School,34,37898,96,Single,1,Mortgage,755,0.2675871369453283,2,1,0,Home,0,27,10,1675,1217,104822,5370,5757.0,0.8961547069636465,5,0
37,594,Employed,Associate,17,9184,36,Married,1,Mortgage,274,0.3205353247385241,0,0,0,Debt Consolidation,0,26,27,1555,4981,244305,17286,8605.333333333334,0.9413687393229144,5,1
37,626,Self-Employed,Master,16,15433,72,Married,0,Rent,732,0.102211336838256,5,1,0,Debt Consolidation,1,16,19,2118,1223,67914,40843,14859.166666666666,0.7560793594714331,5,1
58,564,Employed,High School,39,12741,48,Married,0,Rent,337,0.3673803425383352,6,1,0,Other,0,21,18,5161,1735,65624,43894,4270.833333333333,0.8842751265040522,5,0
49,516,Employed,High School,23,19634,12,Divorced,5,Mortgage,288,0.2097675831677214,5,0,0,Other,0,19,11,781,74,50177,11556,8112.083333333333,0.9334924144306608,5,1
34,603,Employed,Bachelor,12,55353,60,Divorced,5,Own,638,0.1927011647841362,3,0,1,Debt Consolidation,0,25,29,1157,708,29632,49940,9736.75,0.7283969266537559,3,0
46,612,Employed,Associate,19,25443,12,Married,4,Other,704,0.5124646439687668,3,2,0,Other,0,23,10,1028,446,129664,12852,3384.583333333333,0.6153232100036344,3,0
34,478,Employed,Associate,10,48716,84,Single,3,Own,267,0.2112359879576895,4,1,0,Auto,0,25,7,9266,3875,148966,20315,6137.166666666667,0.6784469665655821,4,0
34,591,Employed,Bachelor,11,30088,24,Married,2,Mortgage,295,0.3121837751773506,5,1,0,Home,0,21,28,259,348,33062,3353,1250.0,0.8420154706035147,3,0
42,573,Employed,Bachelor,21,16154,60,Married,1,Rent,258,0.527488434435663,6,0,0,Debt Consolidation,0,26,7,781,1633,16204,35493,6204.416666666667,0.7189488829956874,5,0
18,580,Employed,Associate,0,20439,60,Married,1,Rent,247,0.1686248463190475,5,2,0,Other,1,20,3,2027,916,181813,99030,8375.666666666666,0.5437487788048109,6,0
19,597,Employed,Bachelor,0,27197,36,Married,1,Mortgage,196,0.1149665642522752,2,1,0,Debt Consolidation,0,15,21,2971,576,45336,9418,3968.6666666666665,0.7199405535105939,3,0
33,605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.4234308630650563,4,0,0,Auto,0,21,15,242,131,261435,11144,4720.833333333333,0.8372135908452825,2,1
27,582,Employed,Doctorate,7,19105,60,Single,1,Rent,680,0.1039191338396645,6,3,0,Debt Consolidation,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304104,5,0
43,644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.2225792308926875,1,2,0,Other,0,18,2,13247,856,73836,4213,11860.5,0.9710625003288936,5,1
29,553,Employed,High School,8,14655,72,Single,0,Rent,286,0.5560300102027713,5,1,0,Debt Consolidation,1,25,12,8651,1127,29278,25345,1335.0833333333333,0.9491878340554412,4,0
23,594,Employed,Associate,0,14314,60,Widowed,3,Mortgage,755,0.1872028404084978,5,0,0,Debt Consolidation,0,27,29,3721,2098,128035,72605,2891.5,0.874070288426121,5,0
57,630,Employed,Master,30,15698,48,Single,0,Rent,1059,0.1325425984776519,0,1,0,Auto,0,21,14,1686,4304,212568,8152,8895.75,0.8543548081496882,4,1
37,594,Employed,Associate,14,13205,72,Married,0,Own,564,0.3937721883778739,2,1,0,Auto,0,18,9,1187,5192,24257,18681,4928.166666666667,0.8131010247954645,4,0
40,635,Employed,Doctorate,17,9809,60,Single,3,Rent,571,0.2241874208084188,3,1,0,Home,0,26,2,720,2127,23984,27250,9518.0,0.8518390523096648,10,1
22,503,Employed,Associate,0,16476,24,Married,2,Rent,376,0.3896493754670718,3,1,0,Home,0,29,7,2154,1735,14710,53225,5275.0,0.8707229525687034,5,0
33,555,Employed,Master,12,47795,60,Single,1,Other,199,0.3465198640320265,2,1,0,Home,0,19,4,840,1085,157749,76577,3306.333333333333,0.5835994945074672,4,0
41,594,Unemployed,High School,16,45608,36,Divorced,4,Mortgage,222,0.4093363654675574,4,0,0,Auto,0,18,1,21084,3449,67609,9196,4932.666666666667,0.8443952357304327,3,0
26,462,Employed,Associate,0,20240,24,Single,3,Other,443,0.0988217595655066,2,0,0,Home,0,16,25,713,7335,29861,13107,1254.9166666666667,0.5990271745774041,12,0
44,608,Self-Employed,Bachelor,23,21452,48,Single,4,Mortgage,443,0.1113146919186794,1,1,0,Home,0,21,29,9547,979,16936,7005,1275.4166666666667,0.9076742682849762,2,0
32,622,Employed,Master,10,11136,36,Married,0,Own,698,0.3907447101416139,2,0,0,Home,0,18,17,1346,205,34189,31484,2958.1666666666665,0.703667984211605,3,0
36,576,Employed,Bachelor,14,25264,84,Divorced,3,Own,458,0.2782753429555818,3,1,0,Home,0,27,28,5391,1993,141168,35773,5018.916666666667,0.8143479855465142,5,1
32,592,Self-Employed,High School,10,19570,36,Married,0,Other,521,0.2327773061723514,2,3,0,Auto,0,29,27,3348,1072,85166,8627,1988.4166666666667,0.773488801049033,8,0
62,667,Unemployed,Master,37,44668,60,Single,1,Other,388,0.2959583202347089,7,2,1,Home,0,16,3,17023,3352,56887,90622,6153.583333333333,0.9446486535560504,5,0
39,559,Employed,Bachelor,19,10094,84,Married,0,Mortgage,380,0.1283514136335209,1,0,0,Auto,0,21,19,2987,1795,69823,23540,5091.583333333333,0.8802478786881707,4,0
27,535,Employed,High School,4,11318,120,Single,2,Mortgage,721,0.5827549421963798,2,3,0,Home,0,15,18,4172,3835,303949,13680,1250.0,0.8655246599640286,1,0
49,520,Employed,Associate,25,10166,72,Single,2,Mortgage,388,0.5663402048797452,3,3,0,Home,0,27,4,1767,2757,249298,10972,2894.833333333333,0.8798337627925418,2,0
25,571,Employed,Bachelor,3,24186,72,Married,2,Rent,870,0.3316567652324292,4,0,0,Education,0,31,10,14921,1110,18899,5554,7157.416666666667,0.9056850659655092,4,0
42,552,Employed,Associate,18,18326,60,Married,1,Rent,482,0.1880053011286133,6,1,0,Home,0,25,19,463,1585,170720,30154,6558.416666666667,0.706246374378828,7,1
18,604,Employed,Master,0,8015,36,Married,4,Mortgage,327,0.3761587952008543,1,4,0,Auto,0,17,28,2612,199,49999,8146,2076.1666666666665,0.9260164572637286,7,1
24,508,Unemployed,Associate,0,35876,48,Married,4,Rent,370,0.572203517627025,3,0,0,Auto,0,20,21,7737,242,214229,73682,4769.25,0.5089668709503604,8,0
42,655,Self-Employed,Bachelor,23,12850,72,Single,2,Other,337,0.3579693126478545,3,0,0,Debt Consolidation,0,19,1,3012,309,115322,17900,13608.583333333334,0.9150967945185952,8,1
48,595,Unemployed,High School,26,30517,48,Divorced,0,Own,560,0.3824377045646856,0,0,0,Home,0,22,20,5165,1539,46352,3481,3204.4166666666665,0.793542960098904,6,0
42,582,Self-Employed,Bachelor,20,23363,12,Single,3,Other,298,0.615080763381052,3,2,0,Debt Consolidation,0,20,11,991,288,27778,23569,8326.666666666666,0.7297761837911412,10,1
38,591,Employed,High School,20,25576,96,Married,4,Rent,159,0.144070320692704,3,0,0,Auto,0,27,1,2059,427,463089,25653,4821.666666666667,0.841298379347302,8,0
36,590,Employed,High School,16,10176,24,Divorced,2,Own,289,0.2138637490821043,3,1,0,Education,0,23,6,11162,249,43010,28334,2574.1666666666665,0.808568548732828,7,0
22,500,Employed,High School,1,20169,36,Single,2,Rent,346,0.1042237707058156,6,0,0,Debt Consolidation,0,25,13,1929,1463,16965,5913,1296.75,0.5982463066451033,4,0
31,530,Employed,High School,7,53987,72,Single,0,Other,399,0.0464504455465448,0,0,0,Auto,0,31,16,4218,208,165299,69541,8829.75,0.5251864971506883,3,0
34,545,Employed,High School,13,20996,84,Divorced,2,Other,471,0.3740170430031402,2,0,0,Other,0,19,8,16502,1246,17748,117394,6907.25,0.9049310272334222,2,0
52,631,Employed,Associate,31,29418,60,Divorced,1,Own,221,0.2577000441958514,0,1,0,Education,0,28,20,9902,1607,12300,27582,4462.916666666667,0.8002982768774678,4,0
44,627,Employed,High School,20,20409,108,Widowed,0,Rent,387,0.2821744664134705,1,4,0,Home,0,22,21,3379,5476,165235,22300,8803.25,0.6232275668280846,5,0
18,519,Employed,High School,0,10077,24,Single,3,Mortgage,592,0.1592144927585534,3,0,0,Debt Consolidation,0,20,7,5076,230,25120,15562,4861.833333333333,0.9495358925293532,8,0
43,653,Employed,Doctorate,25,41215,48,Divorced,0,Mortgage,220,0.5329414041983653,2,1,0,Other,0,30,12,1365,4000,188167,2457,10161.583333333334,0.8446177031890929,8,1
35,526,Employed,Associate,13,20612,36,Married,1,Own,465,0.1443622367669244,1,2,0,Education,0,25,21,4127,665,51140,11870,1337.8333333333333,0.6159170722807443,6,0
31,592,Employed,Associate,11,29501,36,Married,3,Other,384,0.231684159042131,4,0,0,Home,0,18,12,2220,438,19637,56982,3004.75,0.7319871064477125,4,0
47,631,Employed,High School,27,36798,24,Widowed,3,Mortgage,713,0.2244822886310728,6,1,0,Auto,0,27,24,3281,1704,32072,21593,10340.5,0.7159631549303098,6,1
52,586,Employed,Bachelor,28,19717,84,Married,0,Rent,278,0.3724747249366798,2,2,0,Auto,0,19,13,801,1835,94338,5443,22724.416666666668,0.7444943912584154,8,1
51,615,Employed,Bachelor,27,16173,84,Divorced,3,Mortgage,817,0.2107139712881695,1,0,0,Debt Consolidation,0,28,19,21739,266,39354,97462,4063.0833333333335,0.4913421694393113,2,0
29,498,Employed,Associate,5,10566,24,Married,2,Other,183,0.44355410578573,4,2,0,Debt Consolidation,0,22,12,30896,2581,278821,123883,2640.25,0.829092654201392,5,0
36,499,Self-Employed,Associate,11,5376,96,Single,4,Mortgage,458,0.3676627894804439,6,2,0,Auto,0,28,11,983,1153,37496,23994,5750.25,0.7790233571979756,3,1
43,616,Employed,Bachelor,18,23181,48,Married,0,Rent,803,0.2346544414979507,1,2,1,Debt Consolidation,0,22,29,3815,305,22524,33442,6034.0,0.820967193532392,4,0
51,653,Employed,Master,33,48331,108,Single,1,Mortgage,772,0.1169995622862777,5,1,0,Auto,1,22,24,21204,2121,201313,59261,8757.25,0.5741986017645414,4,0
34,607,Employed,Master,11,26412,96,Married,1,Own,468,0.0312666074670237,1,2,0,Home,0,18,22,2232,2085,234374,11163,1250.0,0.8258669004979884,6,0
37,600,Self-Employed,High School,16,21225,48,Divorced,2,Rent,373,0.5186353659043479,2,0,0,Education,0,22,29,1458,340,44836,28653,3209.4166666666665,0.8752034217599216,4,0
26,527,Employed,Bachelor,5,22854,36,Married,0,Rent,499,0.0954795705875424,6,1,0,Education,0,19,22,8710,691,39027,9580,6462.916666666667,0.8824741117777509,5,1
25,576,Employed,High School,1,18177,48,Single,0,Mortgage,528,0.2733122633825723,6,1,0,Home,0,25,3,5689,1111,99036,274582,1250.0,0.8687197721258745,3,0
